No.,Source PDF,Source Path,Original No.,Page,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Topic Slug,Difficulty,Has Image,Image Reference,Image Path,Status,Notes
94,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,17,24,"If Lorna had a dentist’s appointment on a certain day, was the appointment on a Friday? 1) Exactly 64 hours before the appointment, it was Wednesday. 2) The appointment is between 2:00pm to 7:00pm ifBOTH statements TOGETHERaresufficient,butNEITHER statement ALONE issufficient.","Statement (1) alone is sufficient, but statement (2) alone is not sufficient.","Statement (2) alone is sufficient, but statement (1) alone is not sufficient.","Both statements together are sufficient, but neither statement alone is sufficient.",Each statement alone is sufficient.,Statements (1) and (2) together are not sufficient.,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,data-interpretation,3,No,,,Ready for Upload,Data Sufficiency.
95,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,18,24,"What was the average number of kilometers per liter of gasoline a car can consume during a certain trip? 1) The total cost of the gasoline used by the card or the 640-km trip was Php1,152. 2) The cost for the gasoline used by the car for the trip was Php18.00 per liter. ifBOTH statements TOGETHERaresufficient,butNEITHER statement ALONE issufficient.","Statement (1) alone is sufficient, but statement (2) alone is not sufficient.","Statement (2) alone is sufficient, but statement (1) alone is not sufficient.","Both statements together are sufficient, but neither statement alone is sufficient.",Each statement alone is sufficient.,Statements (1) and (2) together are not sufficient.,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,data-interpretation,3,No,,,Ready for Upload,Data Sufficiency.
96,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,19,25,"What is the ratio of a to b? 1) a is 8 more than twice b. 2) The ratio of a to 4b is 3 : 7. ifstatement(2)ALONE is sufficient, but statement (1) alone is not sufficient.","Statement (1) alone is sufficient, but statement (2) alone is not sufficient.","Statement (2) alone is sufficient, but statement (1) alone is not sufficient.","Both statements together are sufficient, but neither statement alone is sufficient.",Each statement alone is sufficient.,Statements (1) and (2) together are not sufficient.,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,data-interpretation,3,No,,,Ready for Upload,Data Sufficiency.
97,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,20,25,"At Avanti Review Center, 400 students are enrolled for the Review Program or Academic Advancement Program or both. If 100 of these students are not enrolled in the Review Program, how many of them are enrolled in both Avanti Review Program and Avanti Academic Advancement Program? 1) Of the 400 students, 160 are not enrolled in the Academic Advancement Program. 2) A total of 240 of the students are enrolled in the Academic Advancement Program. if each statement ALONE is sufficient","Statement (1) alone is sufficient, but statement (2) alone is not sufficient.","Statement (2) alone is sufficient, but statement (1) alone is not sufficient.","Both statements together are sufficient, but neither statement alone is sufficient.",Each statement alone is sufficient.,Statements (1) and (2) together are not sufficient.,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,data-interpretation,3,No,,,Ready for Upload,Data Sufficiency.
98,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,1,26,A. Commission on the Filipino Language B. Commission on Human Rights C. Commission on Higher Education D. Commission on Population,ABCD,CBDA,BCDA,ACBD,,B,Correct answer is marked in red in the source PDF: B.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
99,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,2,26,A. Cooperative Development Authority B. Cottage Industry Development Enterprise C. Cottage Industry Technology Center D. Council for the Welfare of Children,ABCD,ACBD,BCAD,CBAD,,A,Correct answer is marked in red in the source PDF: A.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
100,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,3,26-27,A. Food and Nutrition Research Institute B. Fiber Industry Development Authority C. Foreign Service Institute D. Family Planning Organization of the Philippines,ABCD,BACD,DBCA,DBAC,,D,Correct answer is marked in red in the source PDF: D.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
101,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,4,27,A. Insurance Commission B. Industrial Technology Development Institute C. Institute of Labor and Manpower Studies D. Instructional Materials Corporation,BDCA,BACD,BCDA,BADC,,C,Correct answer is marked in red in the source PDF: C.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
102,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,5,27,A. Presidential Commission on Good Governance B. Presidential Commission to Fight Poverty C. Presidential Commission for the Urban Poor D. Presidential Commission on Human Rights,CBAD,CBAD,CABD,CADB,,D,Correct answer is marked in red in the source PDF: D.,Both,Clerical Operations,filing-coding,2,No,,,Needs Review,Clerical Operations (Alphabetizing). Duplicate answer-choice text detected. sub_topic:filing-coding
103,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,6,27-28,A. AA Industrial Chemical Supply B. AB Capital and Investment Corporation C. A Soriano Aviation Incorporated D. A-1 Driving Company Incorporated,DCAB,DCBA,ABCD,CABD,,A,Correct answer is marked in red in the source PDF: A.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
104,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,7,28,"A. Ayala Plans Inc. B. Ayala Health Care, Inc. C. Ayala Land Inc. D. Ayala Life Assurance Inc.",BCDA,ABCD,DCBA,BACD,,A,Correct answer is marked in red in the source PDF: A.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
105,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,8,28,A. Filspin Incorporated B. Filway Marketing Inc. C. Filsov Shipping Company D. Fina Products Inc.,ACDB,CABD,BCAD,BACD,,B,Correct answer is marked in red in the source PDF: B.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
106,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,9,28-29,A. John Shannon Montessori B. John Paul Hospital C. John Robert Powers D. John Nelson and Associates,DACB,DBCA,DCBA,DABC,,B,Correct answer is marked in red in the source PDF: B.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
107,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,10,29,A. Sports Zone Restaurant B. Sports Resources Inc. C. Sports Values Inc. D. Sports House and General Merchandise,ABCD,BCDA,CBDA,DBCA,,D,Correct answer is marked in red in the source PDF: D.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
108,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,11,29,"A. Abad, Josephine B. Abad, Jason C. Abad, Joseph D. Abad, June",DBCA,DBAC,BDCA,BCDA,,A,Correct answer is marked in red in the source PDF: A.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
109,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,12,30,A. St. Stephen’s School B. St. Stephen’s University C. St. Scholastica’s Academy D. St. Scholastica’s College,ABCD,CDBA,CDAB,DCAB,,C,Correct answer is marked in red in the source PDF: C.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
110,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,13,30,"A. Santos, Anita B. Santos, Ana C. Santos, Antonio D. Santos, Anthony",CDBA,DCBA,BADC,BACD,,C,Correct answer is marked in red in the source PDF: C.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
111,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,14,30,A. Philippine Daily Inquirer B. Philippine Star C. Philippine Herald D. Philippine Tribune,ABCD,ACBD,ADCB,ACDB,,B,Correct answer is marked in red in the source PDF: B.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
112,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,15,31,"A. Luna, Antonio B. Luna, Juan C. Luna, Olive D. Luna, Oliver",ABCD,ABDC,ACBD,ADCB,,A,Correct answer is marked in red in the source PDF: A.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
113,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,16,31,"A. Felimon, Jason B. Felipe, Julian C. Felimon, Jamie D. Felipe, Julia",CADB,ACBD,CABD,ACDB,,A,Correct answer is marked in red in the source PDF: A.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
114,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,17,31-32,A. UP Institute for Small Scale Industries B. UP Institute for Science and Math Education C. UP Institute of Biology D. UP Institute of Chemistry,ABCD,BACD,CDAB,CDBA,,D,Correct answer is marked in red in the source PDF: D.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
115,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,18,32,A. Bureau of Post B. Bureau of Internal Revenue C. Bureau of Mines D. Bureau of Fisheries and Aquatic Resources,DBCA,DABC,DCBA,DBAC,,A,Correct answer is marked in red in the source PDF: A.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
116,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,19,32,"A. Rancho, Elian B. Rallon, Michel C. Ramirez, Sean D. Rancho, Elaine",,,,,,,,Both,Clerical Operations,filing-coding,2,No,,,Incomplete,Clerical Operations (Alphabetizing). Could not parse four answer choices. sub_topic:filing-coding
117,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,1,32,BCAD,,,,,,,,Both,Clerical Operations,filing-coding,2,No,,,Incomplete,Clerical Operations (Alphabetizing). Could not parse four answer choices. sub_topic:filing-coding
118,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,2,32,BDAC,,,,,,,,Both,Clerical Operations,filing-coding,2,No,,,Incomplete,Clerical Operations (Alphabetizing). Could not parse four answer choices. sub_topic:filing-coding
119,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,3,32,BCDA,,,,,,,,Both,Clerical Operations,filing-coding,2,No,,,Incomplete,Clerical Operations (Alphabetizing). Could not parse four answer choices. sub_topic:filing-coding
120,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,4,32,BACD,,,,,,,,Both,Clerical Operations,filing-coding,2,No,,,Incomplete,Clerical Operations (Alphabetizing). Could not parse four answer choices. sub_topic:filing-coding
121,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,20,32-33,"A.Quesada, Arianne B. Quisumbing, Armie C. Quintin, Adela D. Quezon, Aurora",ABCD,ADCB,ACBD,ABDC,,B,Correct answer is marked in red in the source PDF: B.,Both,Clerical Operations,filing-coding,2,No,,,Ready for Upload,Clerical Operations (Alphabetizing). sub_topic:filing-coding
122,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,1,34,We should never be apathetic towards other people for we have a social responsibility to fulfill.,i ndi ffere nt,con c ern ed,generous,worried,,,,Both,Verbal Ability,vocabulary,2,No,,,Needs Answer,Synonyms. Could not uniquely map red answer text: a. i ndi ffere nt b. c. d. sub_topic:vocabulary
123,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,2,34,A good leader should be cognizant of the numerous issues that affect his constituents.,aware,uninformed,confused,idealistic,,,,Both,Verbal Ability,vocabulary,2,No,,,Needs Answer,Synonyms. Could not uniquely map red answer text: a. aware b. c. d. sub_topic:vocabulary
124,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,3,34,Always be careful not to issue any disparaging remarks against other people.,praising,confusing,damaging,discouragin,,C,Correct answer is marked in red in the source PDF: C.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
125,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,4,34-35,Flowers are ephemeral; they bloom yet wither in a week or so later.,shrivel,long lasting,beautiful,short lived,,D,Correct answer is marked in red in the source PDF: D.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
126,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,5,35,A fastidious person will never find true happiness.,simple,choosy,greedy,contented,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
127,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,6,35,"The Ortigas Center is filled with gargantuan buildings, some having up to 50 floors.",crowded,old and weak,fist class,gigantic,,D,Correct answer is marked in red in the source PDF: D.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
128,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,7,35,Nobody like haughty Monty who kept bragging about his riches.,arrogant,foolish,respectable,dependable,,,,Both,Verbal Ability,vocabulary,2,No,,,Needs Answer,Synonyms. Could not uniquely map red answer text: a. arrogant b. c. d. sub_topic:vocabulary
129,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,8,35,The corrupt policeman was discharged form service due to his ignominious act of accepting bribes.,honorable,disrespectable,unwanted,remarkable,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
130,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,9,35,The impudent child was scolded for answering back to older people.,respectful,honorable,clever,rude,,D,Correct answer is marked in red in the source PDF: D.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
131,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,10,35-36,Spores are infinitesimal reproductive units of fungi and lower plants.,invisible,interesting,microscopic,large,,C,Correct answer is marked in red in the source PDF: C.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
132,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,11,36,Never trust an insidious person because you’ll never know what goes in his mind.,honest,treacherous,loyal,trustworthy,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
133,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,12,36,Jessa is an irascible girl who frequently has tantrums.,impatient,cheerful,hot-tempered,jolly,,C,Correct answer is marked in red in the source PDF: C.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
134,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,13,36,Surgeons should be meticulous especially when performing operations.,careful,car el es s,strict,lenient,,,,Both,Verbal Ability,vocabulary,2,No,,,Needs Answer,Synonyms. Could not uniquely map red answer text: a. careful b. c. d. sub_topic:vocabulary
135,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,14,36,Christ teaches us to be concerned about putting up riches in heaven and not to be obsessed with mundane things.,temporary,worldly,insignificant,important,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
136,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,15,36-37,Rochelle has difficulty seeing things from afar because she is myophic.,cross-eyed,eagle-yed,farsighted,nearsighted,,D,Correct answer is marked in red in the source PDF: D.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
137,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,16,37,"Regina, being a chilld of three, is oblivious to the world around her.",careful,carefree,aware,unmindful,,D,Correct answer is marked in red in the source PDF: D.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
138,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,17,37,Man can never be omniscient like God.,all-knowing,logical,immortal,miraculous,,,,Both,Verbal Ability,vocabulary,2,No,,,Needs Answer,Synonyms. Could not uniquely map red answer text: a. all-knowing b. c. d. sub_topic:vocabulary
139,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,18,37,The piquant mouse was able to find its way out of the maze in a short while.,dumb,clever,small,unusual,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
140,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,19,37,"It is now plausible to say that someday, interplanetary travel will no longer be impossible.",reasonable,unusual,illogical,extraordinary,,,,Both,Verbal Ability,vocabulary,2,No,,,Needs Answer,Synonyms. Could not uniquely map red answer text: a. reasonable b. c. d. sub_topic:vocabulary
141,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,20,37,A prudent person is not easily deceived.,loyal,careless,wise,foolish,,C,Correct answer is marked in red in the source PDF: C.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
142,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,21,38,“Spare the rod and spoil the child” is a common aphorism.,slogan,battle cry,proverb,motto,,C,Correct answer is marked in red in the source PDF: C.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
143,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,22,38,Charlie’s deportment is highly commendable.,belief,behavior,intelligence,competence,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
144,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,23,38,For enmity and hate are contrary to friendship and concord.,agreement,mutual hatred,confusion,division,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
145,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,24,38,The Filipino’s fortitude is the reason why he seldom complains.,endurance,peace-loving,discontent,satisfaction,,,,Both,Verbal Ability,vocabulary,2,No,,,Needs Answer,Synonyms. Could not uniquely map red answer text: a. endurance b. c. d. sub_topic:vocabulary
146,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,25,38,Poverty should never be viewed as an impediment towards attaining good education.,reason,way,link,obstruction,,D,Correct answer is marked in red in the source PDF: D.,Both,Verbal Ability,vocabulary,2,No,,,Ready for Upload,Synonyms. sub_topic:vocabulary
147,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,26,38-39,The students were upbraided for misbehaving during the assembly.,praised,honored scolded,stop p ed,,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,vocabulary,2,No,,,Incomplete,Synonyms. Missing one or more A-D choices. sub_topic:vocabulary
