No.,Page,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Difficulty,Has Image,Image Reference,Status,Notes
58,13,Five hundred ninety-five days is how many weeks?,119,95,85,75,,C. 85,3. Five hundred ninety-five days is how many weeks? = 595 days x 1 week 7 days = 595 week 7 = 85 weeks *Ans.,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 2; original question no. 3.
59,13,Eighteen bus loads of 56 students each went to join the Independence Day Celebration. One hundred seventy-four did not go. How many students are there in all?,160,1282,180,1182,,D. 1182,4. Eighteen bus loads of 56 students each went to join theIndependence Day Celebration. One hundred seventy-four did not go. How many students are there in all? Number of students : N = (18 x 56) + 174 = 1008 (174) = 1182 students *Ans.,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 2; original question no. 4.
60,13,"Richard bowled 3 games and got scores of 139, 153, and 128. What was his average score for the three games?",130,140,150,160,,B. 140,"5. Richard bowled 3 games and got scores of 139, 153, and 128. What was his average score for the three games? Average = 139 + 153 + 128 3 = 420 3 = 140 *Ans.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 2; original question no. 5.
61,14,If 9x - 7 = 18y then 9x - 7 = ________? 6,2y,3y,6y,y + 6,,B. 3y,1. If 9x - 7 = 18y then 9x - 7 = ________? 6 9x - 7 = 18y 9x - 7 = 18y 6 6 = 3y *Ans.,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 3; original question no. 1.
62,15,A student buys an MSA Reviewer Book for $175 after receiving a discount of 12.5%. What was the marked price?,$ 187.50,$ 200,$ 225,$ 250,,B. $ 200,2. A student buys an MSA Reviewer Book for $175 after receiving a discount of 12.5%. What was the marked price? 1 MP - 0.125 MP = $175 0.875 MP = $175 7/8 MP = $175 (note : 7/8 is the fraction form of 0.875) MP = $175 x (8/7) MP = $200 *Ans.,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 3; original question no. 2.
63,15,"A town house unit was sold fir $2.50 M, yielding a 25% profit. For how much would it be sold to yield only a 10% profit on the cost?",$ 2M,$ 2.25M,$ 2.2M,$2.45M,,C. $ 2.2M,"3. A town house unit was sold fir $2.50 M, yielding a 25% profit. For how much would it be sold to yield only a 10% profit on the cost? Let C be the original cost of the house Let 0.25C be the profit C + 0.25C = $2.5 M 1.25C = $2.5M 1.25C = $2.5M 1.25 1.25 C = $2M The new selling price that would yield at 10% profit on the cost would be : = $2M + 0.10 ($2M) = $2M + 0.20M = $2.2M *Ans.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 3; original question no. 3.
64,15,What single discount is equivalent to successive discounts if 5% and 10%?,10.5%,12.5%,14.5%,15%,,C. 14.5%,4. What single discount is equivalent to successive discounts if 5% and 10%? The formula for a single rate of discount equivalent to the series ofdiscounts is : R = 1 - [(1 - r1) (1 - r2)...(1 - rn)] for r1 = 5% and r2 = 10% R = 1 - [(1 - 0.05) (1 - 0.10)] = 1 - [(0.95) (0.90)] = 1 - 0.855 = 0.145 or 14.5% *Ans.,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 3; original question no. 4.
65,15,How many miles are there in 40 kilometers?,25,64,32,60,,A. 25,5. How many miles are there in 40 kilometers? 1 mile = 1.6 kilometers 40 kilometers = 40 km x 1 mile 1.6 km = 25 miles *Ans. Select the best answer for each and rite the appropriate letter in the blank.,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 3; original question no. 5.
66,16,"A car that cost $ 1.2 M can be sold for $ 600, 000 after 5 years of use. What will be the yearly depreciation cost ?","$ 100, 000","$ 12, 000","$ 120, 000","$ 600, 000",,"C. $ 120, 000","1. A car that cost $ 1.2 M can be sold for $ 600, 000 after 5 years of use. What will be the yearly depreciation cost ? Yearly depreciation cost = depreciation no. of years = $ 1,200,000 - $ 600,000 5 = $ 600,000 5 = $ 120, 000 per year * Ans.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 4; original question no. 1.
67,16,How many times does the digit 7 appear in the numbers from 1 to 100 ?,9,10,19,20,,C. 19,"2. How many times does the digit 7 appear in the numbers from 1 to 100 ? 7, 17, 27, 37, 47, 57, 67, 77, 87, 97, 71, 72, 73, 74, 75, 76, 77, 78, 79 19 times * Ans.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 4; original question no. 2.
68,17,"At the rate of $ 44 per hundred sheets of colored bond paper, how much is the cost of 500 sheets ?",$ 121,$ 242,$ 440,$ 480,,B. $ 242,"3. At the rate of $ 44 per hundred sheets of colored bond paper, how much is the cost of 500 sheets ? Cost of the 550 sheets = $ 44 x 550 sheets 100 sheets = $ 44 x 5.5 = $ 242 * Ans.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 4; original question no. 3.
69,17,"At $ 25 per board foot of wood, what is the cost of 15 pieces of 2"" x 2"" x 12' ? (1 board foot = 1 ft. x 1 ft. x 1 inch)","$ 18, 000","$ 15, 000","$ 1, 250","$ 1, 500",,"D. $ 1, 500","4. At $ 25 per board foot of wood, what is the cost of 15 pieces of 2"" x 2"" x 12' ? ( 1 board foot = 1 ft. x 1 ft. x 1 inch ) Cost = $ 25 x 2"" x 2"" x 12"" bd. ft. bd. ft. 12"" = $ 1, 500 * Ans.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 4; original question no. 4.
70,17,The decimal form of 0.56 % is __________ ?,0.0056,0.056,0.56,56,,A. 0.0056,5. The decimal form of 0.56 % is __________ ? Move 2 decimal places to the left (100%). 0.56 % = 0.0056 * Ans.,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 4; original question no. 5.
71,18,What number is as much more than 8 as it is less than 32 ?,20,40,60,cannot be determined from the given information,,A. 20,1.less than 32 ? Let x - be the number x - 8 = 32 - x x + x = 32 +8 2x = 40 x = 40 / 2 x = 20 * Ans.,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 5; original question no. 1.
72,18,"A container van that is 3 meters wide, 5 meters long and 4 meters high will transport 200 crates whose volume is 6 cubic meters. How many trips will it take to transport all the crates?",20,25,30,35,,A. 20,"e. 2. A container van that is 3 meters wide, 5 meters long and 4 meters high will transport 200 crates whose volume is 6 cubic meters. How many trips will it take to transport all the crates? Let N - be the number of trips No. of trips = (No. of crates) x volume x 1 trip crate volume of the van N = 200 crates x 6 m3 x 1 trip crate (3 x 5 x 4)m3 N = (200) (6) 3 x 4 x 5 N = 1200 60 N = 20 trips * Ans. f.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 5; original question no. 2.
73,18,"A rectangular block of copper, with dimensions 4m x 6m x 9m, is melted and recast into a cubical block. Find the length of the side of the cubical block.",4 cm,6 cm,9 cm,12 cm,,B. 6 cm,"g. 3. A rectangular block of copper, with dimensions 4m x 6m x 9m, is melted and recast into a cubical block. Find the length of the side of the cubical block. Vcubical block = Vrectangular block S3 = (4 x 6 x 9) m3 S3 = 216 m3 ______ S = ∛216 m3 S = 6m * Ans. h.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 5; original question no. 3.
74,18,"There are 9 male teachers for every 14 female teachers. If there are 69 teachers in all, how many teachers are female?",18,27,39,42,,D. 42,"i. 4. There are 9 male teachers for every 14 female teachers. If there are 69 teachers in all, how many teachers are female? 9 : 14 = Male : Female 23 69 No. of Female teachers = (69 / 23) x 14 = 3 x 14 = 42 * Ans. j. k. ___",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 5; original question no. 4.
75,18,What would be the closest approximation to√ 66 ?,7.9,8,8.1,8.9,,C. 8.1,5. What would be the closest approximation to√ 66 ? ___ √ 64 = 8 ___ √ 66 ≅ 8.1 * Ans. l.,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 5; original question no. 5.
