No.,Original No.,Page,Source PDF,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
136,67,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"During a recent shopping spree , Tomas and Nena bought some new accessories for their apartment . Nenal chose a crocheted throw pillow at Php24.95 , and Tomas purchased a rural landscape painting for Php135.00 . How much did they actually spend if they paid % sales tax on their purchases ? C",,,Php171.15 C,,Php139.25 C,,none of these C,,Php159.95 C,,Php148.75,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
137,68,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"The stanza below is taken from "" Barter "" by Sara Teasdale . Life has loneliness to sell , Music like a curve of gold , Scent of pine trees in the rain , Eyes that love you , arms that hold , And for your spirit's still delight , Holy thoughts that star the night . To what does Teasdale compare music ? C",,,The scent of pine trees C,,A curve of gold C,,Eyes that love C,,The rain,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item. Visual-reference language was detected; manually review the Office source for possible embedded images.
138,69,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"An elderly woman suffered a stroke , a restriction of blood flow to the brain . If the stroke caused to the right side of her body to become temporarily paralyzed , she most likely experienced a decreased blood flow to C",,,the left side of her body . C,,the front of her brain . C,,the left side of her brain . C,,the right side of her brain .,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
139,70,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,Which is the BEST WAY to write the underlined portion of this sentence ? Many viewers taped shows to watch later . C,,,tapped C,,had taped C,,tape C,,had tapped,,,,,,Both,General Education,Grammar,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
140,71,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,Alin ang kahulugan ng KAHIRAMANG SUKLAY ? C,,,Kakilala C,,Kaibigan C,,Karibal C,,Kalahi,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
141,72,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,Ano ang pinakaangkop na kahulugan nito ? Nagsasaya tayo ngayon sapagkat ang iyong namatay na kapatid ay muling nabuhay ; ang nawawala ay muling nakita . C,,,Ang pagbabalik ay dapat ipaghanda nang malaki . C,,Ang pagbabago ng kapatid ay dapat pahalagahan . C,,Dapat silang magsaya sa muli nilang pagsasama - sama C,,Ang pagsasama nila ay dahil sa muling pagbabalik ng kapatid .,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
142,73,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"Two days after Japan attacked Pearl Harbor , Roosevelt made the following statements : In the past few years and most violently in the past few days , we have learned a terrible lesson . We must begin the great task that is before us by abandoning once and for all the illusion that we can never again . isolate ourselves from the rest of humanity . In the statement , Roosevelt is expressing the ideas of C",,,an internationalist C,,an anti - imperialist C,,an imperialist C,,an isolationist,,,,,,Both,General Education,Teaching Strategies,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
143,74,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,Which pitch is used for the word STRANGE ? What a strange story ! C,,,3 C ש C,,2,,4,,1,,,,,,Both,General Education,Vocabulary,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
144,75,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,What is the function of DIFFUSION in the human body ? C,,,Pangngalan C,,Pangngalang - diwa C,,Pawatas C,,Pang - ukol,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
145,77,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"Which of the following represent , ethnocentric behavior ? C",,,"A tourist who lectures his foreign hosts on the "" uncivilized "" nature of their marriage customs . C",,A student who tutors an immigrant in English C,,A Hispanic community group demands that public aid forms be published in English and Spanish . C,,A peace Corps volunteer who helps dig wells in Central Africa,,,,,,Both,General Education,Educational Psychology,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
146,78,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"The following are legitimate children , EXCEPT C",,,those born by artificial insemination . C,,those legitimated . C,,those born during a valid marriage of parents . C,,those born out of a valid marriage of the parents .,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
147,79,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,Which of the following internal forces interrupt the external forces of erosion ? I. Forces that cause volcanoes II . Forces that cause ocean trenchers III . Forces that create mountains C,,,"I , II and III C",,I and III C,,II and III C,,I and II,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
148,80,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,How many whole numbers can divide exactly ? C,,,Eight C,,Six C,,Five C,,Four C,,none of these,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
149,81,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,The undeclared war in Korea most closely resembled the situation of C,,,The Spanish - American War C,,The Vietnam War C,,World War I C,,World War II,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
150,82,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,Which one is the human right to life ? C,,,Peace C,,Live in national and international order C,,Own property C,,Fair trial,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
151,83,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"You buy a new refrigerator for Php12,800.00 and make a down payment of Php2,500.00 . If you finance the remainder at % annually for three years , how much will you actually pay for the refrigerator ? C",,,"Php12,190.00 C",,"Php10,300.00 C",,none of these C,,"Php12,772.00 C",,"Php15,272.00",,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
152,84,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"The poem below is entitled Suburban Prophecywhich is written by Howard Nemerov . On Saturday , the power - mowers ' whine Begins the morning . Over this neighbourhood Rises the keening , petulant voice , begin Green oily teeth to chatter and munch the cud . Monsters , crawling the carpets of the world , Still send from underground against your blades The roots of things battalions green and curled And tender , that will match your blades with blades Till the revolted throats shall strangle on . The tickle of their dead , till straws shall break Crankshafts like camels , and the sun go down . On dinosaurs in swamps . A night attack Follows and by the time the Sabbath dawns . All armored beasts are eaten by their lawns . The imagery in the first stanza appeals to the reader's sense of C",,,sight C,,touch C,,smell C,,hearing,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item. Visual-reference language was detected; manually review the Office source for possible embedded images.
153,85,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"In an experiment , a vacuum is created when all air is removed from a tube . A coin and bits of confetti are released in the vacuum at the same time . They fall at the same rate and reach the bottom at the same time . The experiment proves that I. in a vacuum , the rate of acceleration is the same for all objects regardless of weight . II . outside a vacuum , air resistance is what makes different objects fall at different rates . III . gravity has no effect at all on objects that fall in a vacuum . C",,,I and II C,,I and III C,,"I , II and III C",,II and III,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
154,86,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"Which is the BEST WAY to write the underlined portion of this sentence ? The hosts also benefit from running such a business because they can stay at home , make money , and meeting a variety of people . C",,,get to meet C,,to meet C,,and meet C,,and be meeting,,,,,,Both,General Education,Grammar,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
155,87,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,Scientist also find that other stalky vegetables such as carrots also help lower blood pressure . This statements is BEST classified as C,,,experiment C,,nonessential fact C,,finding C,,prediction,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
156,88,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"Which is the BEST WAY to write the underlined portion of this sentence ? There is smoke detectors in many homes to warn residents of a fire , but fire extinguishers can actually help people fight fires . C",,,They're is C,,Their is C,,Their are C,,There are,,,,,,Both,General Education,Grammar,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
157,89,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,Which is the BEST evidence that helium gas is lighter than air ? C,,,Helium has the lowest boiling point of all elements . C,,Helium atoms do not combine with other air atoms . C,,Helium - filled balloons rise in air . C,,"By volume , helium makes up only 0.0005 % of air .",,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
158,90,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"What correction should be made to this sentence ? Buying a fire extinguisher knowing how to use it , and placing it in a location familiar to all family members can help protect families against fire. C",,,Insert a comma after extinguisher C,,Change the spelling of families to familys C,,Change placing to place C,,Insert a comma after help,,,,,,Both,General Education,Grammar,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
159,91,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,Which is NOT personal integrity ? C,,,Time C,,Place C,,Order C,,Harmony,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
160,92,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,Nasa anong kaganapan ng pandiwa ang pangungusap ? Naglaro ng basketball sa Rizal Stadium ang koponan ng aming pamantasan . C,,,Sanhi C,,Tagaganap C,,Kagamitan C,,Ganapan,,,,,,Both,General Education,Philippine History,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
161,93,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"In how many ways can you arrange three mathematics books ( Algebra , Geometry , Trigonometry ) in order on a shelf ? C C",,,6,,8,,12 C C,,24 C,,none of these,,,,Both,General Education,Algebra,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
162,94,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,Alin sa mga sumusunod ang mensahe ng epiko ng Ilokano na BIAG NI LAM - ANG ? C,,,Pinatutunayan ng epiko ang yaman ng Ilokano sa lahat ng bagay . C,,Kailangan paniniwalaan ang ukol sa bisa ng mga anting - anting dahil sa mga pangyayaring nagpapatunay dito . C C,,Dito nagpapatunay na walang kamatayan .,,Masasalat ang mga katutubong ugali at mga tradisyong dapat pagyamanin at panatilihin upang pakinabangan ng kabataan .,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
163,95,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"The hypotenuse of a right triangle is feet . If one leg is feet , what is the length of the other leg ? C",,,5 ft C,,5 ft C,,20 ft C,,7 ft C,,none of these,,,,Both,General Education,Geometry,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
164,96,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,Carter's part in relinquishing U.S. control of the Canal Zone to Panama is described as a victory for C,,,conservatism C,,anti - imperialism C,,isolationism C,,imperialism,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
165,97,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"If a baseball player hits home runs in the first games , at the same rate how many home runs can he expect to hit during the - game season ? C",,,38 C,,42 C,,36 C C,,40,,none of these,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
166,98,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"In an experiment , a drop of blue ink is placed on the surface of a glass of water . In a few minutes , the drop of ink is dispersed throughout the water , turning it light blue . The result of the experiment proves that C",,,molecules of ink and molecules of water are in constant motion . C,,heat causes the ink to disperse . C,,a new compound is formed by the combination of ink and water . C,,ink molecules have less density than water molecule .,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
167,99,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,Which area of the brain controls feeling on the left side of a person's face ?,,,The left occipital lobe C,,The left parietal lobe C,,The right parietal lobe C,,The right occipital lobe,,,,,,Both,General Education,Geometry,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
168,100,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,The Soviet Union's attempt to establish a missile base in Cuba is interpreted as a direct violation of C,,,the Truman Doctrine C,,the Monroe Doctrine C,,the Strategic Arms Limitations Talks ( SALT ) C,,the Declaration of Independence,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
169,101,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"As a representative of the Urban Poor Commission of the Association of Religious Superiors ( ARS ) , which action will you most likely take to resolve the long - term roots of structural inequalities - proliferation of child labor and child prostitution ? C",,,Raise views of human rights abuse . C,,Organize regular programs for information and discussion of human rights . C,,Conduct skills training . C,,Raise questions over the government's commitment to rebuild human rights,,,,,,Both,General Education,Child Development,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
170,102,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"Carl Sundburg wrote "" Jazz Fantasia "" which has for its first stanza : Drum on your drums , batter on your banjos , sob on the long cool winding saxophones . Go to it , O jazzmen . Which words illustrate alliteration ? C",,,Batter and banjos C,,Long and cool C,,Sob and winding C,,To and it,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
171,103,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"Below is an excerpt from John F. Kennedy's "" Inaugural Address . "" In your hands , my fellow citizens , more than mine , will rest the final success or failure of our course . Since this country as founded , each generation of Americans has been summoned to give testimony to its national loyalty . The graves of young Americans into answered the call to service surround the globe . Now the trumpet summons us again - not as a call to bear arms , though , arms we need , not as a call to battle , though embattled we are ; but a call to bear the burden of a long twilight struggle , year in and year out , rejoicing in hope , patient in tribulation , a , struggle against the common enemies of man : tyranny , poverty , disease , and war itself . Can we forge against these enemies a grand and global alliance , North and South , East and West , that can assure a more fruitful life for all mankind ? Will you join me in this historic effort ? In the long history of the world , only a few generations have been granted the role of defending freedom in its hour of maximum danger . I do not shrink from this responsibility ; I welcome it I do not believe that any of us would exchange places with any other people or any other generation . The energy , the faith , the devotion which we bring to this endeavor will light our country and all who serve it , and the glow from that fire can truly light the world . And so , my fellow Americans , ask not what your country can do for you ; ask what you can do for your country . My Fellow citizens of the world ask not what America will do for you , but what together we can do for the freedom of man . In the speech , Kennedy paints a picture of the United States as a nation that is C",,,longing to return to the past C,,on the brink of world war C,,struggling to survive C,,the leading defender of freedom,,,,,,Both,General Education,Physics,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item. Visual-reference language was detected; manually review the Office source for possible embedded images.
172,104,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,"Which are the next three terms in the progression , , 16. .. terms ? C",,,"64 , , C",,"67 , , C",,"66 , , C",,"65 , , C",,none of these,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
173,105,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,Aling antas ng tono ang lumilitaw sa bahaging may salungguhit ng pangungusap na nagsasalaysay ? Magbabasa ng mga gawain ang guro . C C C C,,,1,,3,,2,,4,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
174,106,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,One of the most outstanding accomplishments of the cooperative movement is the encouragement of thrift . Which maxim of God puts this into practice ? C,,,God helps those who help themselves C,,"Look at the birds : they do not plant seeds , / gather a harvest and put it in barns ; yet your Father in heaven takes care of them ! C C",,"He is near to those who call to Him , who call to Him with sincerity",,Happy are those who are merciful to others ; God will be merciful to them !,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
175,107,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,How many gallons of water will fill a fish tank that is inches by inches by inches ? ( There are cubic inches per gallon ) . Round your answer to the nearest gallon . C,,,45 gallons C,,40 gallons C,,none ofthese C,,47 gallons C,,38 gallons,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
176,108,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,Which location should have most nearly twelve hours of daylight and twelve hours of darkness during December ? A town that is located C,,,halfway between the Equator and the South Pole . C,,close to the Equator . C,,close to the North Pole . C,,close to the South Pole .,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
177,109,Office,A. Gen-Ed-Set-A-A-Questionaire.docx,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/B. BEED&BSED LET DRILLS & BOOSTER-/A. Gen-Ed-Set-A-A-Questionaire.docx,The principle under which a thermostat operates is the same when C,,,a gas expands to fill the container in which it is held . C,,a pendulum swings when it is set into motion . C,,a chemical reaction occurs when two substances combine . C,,the level of mercury rises or falls in a glass tube .,,,,,,Both,General Education,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Source is an Office document; page number is unavailable from text extraction. No answer key or embedded answer was matched for this item.
